,id_municipio,sigla_uf,ano,rbc_corrente,rbc_transf,d_educacao,d_educacao_fund,d_educacao_inf,taxa_aprovacao_inicial,indicador_rendimento_inicial,nota_saeb_matematica_inicial,nota_saeb_lingua_portuguesa_inicial,ideb_inicial,taxa_aprovacao_final,indicador_rendimento_final,nota_saeb_matematica_final,nota_saeb_lingua_portuguesa_final,ideb_final,inse_2019,populacao_estimada,populacao_0_15_anos,pib,name_region
4523,4310413,RS,2017,13838476.79,13312447.09,3513605.68,2060611.74,527214.24,90.3,0.90542603,188.86,174.66,4.3,82.5,0.81137002,239.05,244.38,3.8,5.0809,2241,406,62558599,Sul
4524,4310413,RS,2019,16855892.46,16010812.56,3990845.6,1683258.49,646741.85,93.7,0.93396699,227.27,218.91,5.9,91.4,0.89435601,,,,5.0809,2226,389,68317385,Sul
4525,4206405,SC,2013,22929586.18,20409553.91,5510843.6,3298592.17,1499221.22,96.8,0.96455997,217.75,197.11,5.5,94.1,0.94244099,263.54,261.05,5.1,5.4937,10482,1767,254118057,Sul
4526,4206405,SC,2015,27891025.86,23348571.36,6731199.08,4297602.24,2161951.12,99.4,0.99406201,,,6.1,96.1,0.95950502,,,4.8,5.4937,10351,1621,239305546,Sul
4527,4206405,SC,2017,33176236.56,28509268.89,8436211.71,5149411.15,2479642.91,99.8,0.99818701,252.94,235.38,7.1,93.7,0.93048698,259.97,269.27,5.1,5.4937,10219,1552,287358507,Sul
4528,4206405,SC,2019,41566392.52,34883924.26,9517080.72,6362617.87,2478016.24,100.0,1.0,257.23,242.92,7.3,95.2,0.948412,289.17,280.73,5.8,5.4937,10090,1493,347354577,Sul
4549,4212809,SC,2013,54429904.93,32003588.5,13744621.33,8293328.81,4729366.21,95.8,0.95769203,223.24,207.82,5.7,84.6,0.84721601,250.5,250.02,4.2,5.3911,19267,4346,449503482,Sul
4550,4212809,SC,2015,68931481.56,39878876.41,19820796.86,13823091.36,5760718.4,95.1,0.94888598,,,6.1,90.0,0.905249,,,4.9,5.3911,20565,4458,511354106,Sul
4551,4212809,SC,2017,88358415.75,51205628.81,30280019.28,19509418.5,10302831.26,94.0,0.93999302,235.69,225.55,6.2,89.6,0.897695,273.48,277.85,5.3,5.3911,21864,4689,841169176,Sul
4552,4212809,SC,2019,130341249.13,67664126.86,35725311.85,23274377.4,10514796.37,97.1,0.97067899,238.64,223.03,6.4,91.8,0.92040598,280.01,272.36,5.4,5.3911,23147,4954,1109526662,Sul
4593,4218707,SC,2013,168922482.55,118770754.28,40839656.57,21432539.93,18837116.64,95.8,0.95801699,222.55,212.57,5.8,87.0,0.87300801,246.63,237.67,4.1,5.5799,101104,18082,2791737435,Sul
4594,4218707,SC,2015,200509655.24,137554030.47,54422499.0,27002857.47,25177536.39,94.2,0.94271702,,,6.0,86.9,0.878883,,,4.9,5.5799,102631,17905,3237605048,Sul
4595,4218707,SC,2017,233863495.17,153636824.05,71687354.99,29310674.16,38308336.66,93.4,0.933249,231.94,228.25,6.1,84.5,0.846964,261.47,261.51,4.6,5.5799,104161,17957,3516205397,Sul
4596,4218707,SC,2019,294987601.97,182047398.07,85449049.55,32881008.06,47341972.99,92.8,0.92565697,228.8,219.25,5.8,85.1,0.85037899,270.29,270.32,4.8,5.5799,105686,18166,3961861768,Sul
4621,4210001,SC,2013,28190487.6,25654863.58,6808945.35,4306249.2,1955930.38,,,,,,,,,,,5.6114,11366,2605,406346711,Sul
4622,4210001,SC,2015,32446922.91,28621091.37,9225426.8,6129635.03,2614566.19,98.0,0.97563601,,,6.8,,,,,,5.6114,11879,2699,482012432,Sul
4623,4210001,SC,2017,39001925.61,34143786.73,11232895.93,6546603.42,4199998.68,98.8,0.98777699,237.11,225.36,6.5,84.5,0.84586799,,,,5.6114,12393,2773,575786890,Sul
4624,4210001,SC,2019,44478865.94,37973388.34,13967258.76,6963674.58,5220252.31,97.5,0.97482997,249.8,245.61,7.0,,,,,,5.6114,12859,2855,495950925,Sul
4665,4202453,SC,2013,61585235.66,26971758.29,17204022.58,8297923.95,8193428.58,97.6,0.97843802,234.3,222.0,6.3,95.6,0.95251,255.17,255.99,4.9,5.456,16255,3488,368731742,Sul
4666,4202453,SC,2015,88814731.89,31343498.72,25374460.68,12684388.89,10626919.24,95.8,0.957295,,,6.3,89.3,0.90254998,,,4.5,5.456,17430,3625,512112094,Sul
4667,4202453,SC,2017,116576935.64,42478524.46,34029584.61,18600901.34,12905428.29,95.2,0.95182699,242.61,230.41,6.5,91.8,0.919864,277.13,278.91,5.5,5.456,18607,3809,598334945,Sul
4668,4202453,SC,2019,146344369.59,53389827.47,39705772.54,19993422.72,15192639.56,96.0,0.95946902,244.46,234.63,6.6,95.2,0.94746798,268.61,268.29,5.3,5.456,19769,4020,721662017,Sul
4681,4304630,RS,2013,113963569.2,60748622.57,33023833.72,18220402.72,14794373.41,86.1,0.86419302,212.11,195.44,4.8,74.8,0.75177097,243.75,240.41,3.6,5.3357,46235,10776,953132864,Sul
4682,4304630,RS,2015,179537942.91,74972110.62,48950180.9,29356913.19,15001891.6,85.8,0.85915101,,,4.9,77.7,0.785882,,,4.0,5.3357,48631,10898,1199499023,Sul
4683,4304630,RS,2017,198639202.26,86371756.97,62259040.07,26464622.55,29829882.55,86.1,0.86130798,217.72,208.46,5.1,77.2,0.78168303,265.52,265.54,4.3,5.3357,50921,11073,1373551840,Sul
4684,4304630,RS,2019,271397061.81,112226982.73,83097322.51,39363680.76,29465647.94,87.1,0.86850798,222.75,216.24,5.3,73.4,0.74126601,268.86,265.3,4.1,5.3357,53049,11327,1609057678,Sul
4745,4317202,RS,2013,176610500.29,127514970.39,35224703.92,22106900.67,7202194.52,98.4,0.98484498,225.24,202.55,5.9,86.6,0.863693,261.39,253.5,4.5,5.4494,71070,13463,2245085663,Sul
4746,4317202,RS,2015,238972656.98,165024928.32,42797022.63,22941334.28,11735632.45,95.4,0.95363098,,,6.1,86.8,0.86862999,,,4.6,5.4494,71838,13051,2407654020,Sul
4747,4317202,RS,2017,279769508.82,190261876.73,54451374.77,26958726.42,17362257.76,95.9,0.957959,240.5,226.97,6.4,86.9,0.86946899,269.08,262.6,4.8,5.4494,72572,12774,2824253399,Sul
4748,4317202,RS,2019,319786289.08,211337663.63,59523576.57,26920874.92,20091420.11,96.4,0.96111703,244.74,232.33,6.6,87.0,0.87193203,283.54,278.91,5.3,5.4494,73254,12628,3191247974,Sul
4769,4321469,RS,2013,12191643.46,10954070.34,3239498.77,2581068.17,424374.97,,,,,,,,,,,5.5786,2862,552,91494875,Sul
4770,4321469,RS,2015,14250327.11,12662517.68,3388403.7,2778208.15,369104.5,96.4,0.96352202,,,6.3,81.6,0.82180297,,,,5.5786,2921,534,111712374,Sul
4771,4321469,RS,2017,16434358.17,14439500.96,3833314.07,3092588.18,570396.57,96.9,0.96562898,255.19,234.72,6.9,83.5,0.82969397,263.42,270.27,4.6,5.5786,2977,523,105292720,Sul
4772,4321469,RS,2019,20462935.07,17246882.08,4747604.74,3527002.46,1038537.04,96.4,0.95844197,231.85,225.63,6.2,81.9,0.81149697,285.91,269.2,4.8,5.5786,3030,520,112827558,Sul
4785,4216800,SC,2013,16792745.39,15618466.72,5473937.41,4534373.73,817185.88,96.5,0.96850598,191.71,176.75,4.7,,,,,,4.9742,9056,1903,238406597,Sul
4786,4216800,SC,2015,22264689.42,18444818.57,6614870.48,5381157.26,1042470.41,97.7,0.97497702,,,4.8,,,,,,4.9742,8802,1699,198892630,Sul
4787,4216800,SC,2017,21520645.06,19222704.78,6846374.03,5538916.98,1157112.27,98.4,0.98314899,173.38,175.14,4.4,70.4,0.703623,,,,4.9742,8547,1603,228025009,Sul
4788,4216800,SC,2019,25119105.32,22911618.17,7066024.99,4951664.21,1622091.19,98.9,0.98818803,222.24,202.41,5.8,,,,,,4.9742,8295,1518,262281500,Sul
4821,4323002,RS,2013,301577839.13,225735811.02,92819562.73,89676276.2,1436862.36,88.0,0.88067502,199.5,187.72,4.6,71.1,0.71581203,237.13,236.08,3.3,5.236,247903,57470,2686086769,Sul
4822,4323002,RS,2015,386994249.98,265905053.75,118048068.05,106780980.24,6711208.92,92.3,0.92599601,,,5.1,80.6,0.81608403,,,4.0,5.236,250477,55595,3239885277,Sul
4823,4323002,RS,2017,436467625.38,310806210.73,136263571.27,117254202.89,5682465.63,93.2,0.93175799,202.0,197.49,5.0,83.3,0.83638698,239.0,241.38,3.9,5.236,252937,54376,3454774892,Sul
4824,4323002,RS,2019,538026828.33,371355066.73,163997416.34,123779541.35,23340825.64,96.9,0.96919602,225.78,214.14,6.0,89.6,0.898404,252.94,256.42,4.6,5.236,255224,53698,4040356737,Sul
4880,4301404,RS,2013,22774352.8,19443053.58,4594117.98,4118731.53,354986.35,97.3,0.97190797,219.71,194.96,5.5,83.1,0.82678699,228.0,224.92,3.5,5.0109,10432,1963,181741674,Sul
4881,4301404,RS,2015,26990205.92,22162444.45,5259211.86,4495961.31,621293.12,,,,,,,,,,,5.0109,10429,1847,224150229,Sul
4882,4301404,RS,2017,31633399.45,25129961.31,6473673.01,5735605.47,608471.34,97.9,0.97860402,227.33,212.5,6.0,93.9,0.93862998,252.97,243.28,4.6,5.0109,10427,1783,256778667,Sul
4883,4301404,RS,2019,38040044.16,30137588.9,7079839.39,4510952.47,2172514.49,96.2,0.95904303,219.74,219.57,5.9,89.3,0.89306903,245.41,237.97,4.2,5.0109,10424,1736,257481206,Sul
4915,4216404,SC,2013,15879576.67,15164846.0,5458399.87,4093235.63,984423.42,94.3,0.94352901,225.78,201.63,5.6,86.5,0.848876,259.66,258.2,4.5,5.2525,7172,1450,107976980,Sul
4916,4216404,SC,2015,17873214.47,16642773.59,7644653.33,6033965.85,1286848.95,95.3,0.95217198,,,5.6,85.1,0.85891002,,,,5.2525,7209,1379,137587564,Sul
4917,4216404,SC,2017,23270230.73,21481216.68,7424609.1,4642909.19,2270152.62,94.2,0.94541502,232.67,217.39,6.0,75.7,0.76225799,252.27,257.08,3.9,5.2525,7245,1345,188923935,Sul
4918,4216404,SC,2019,28535150.92,26504545.14,9216776.31,5805242.49,2861224.37,94.3,0.94415301,224.88,223.82,6.0,89.6,0.89992499,250.99,221.52,4.1,5.2525,7297,1326,204292155,Sul
4927,4202503,SC,2013,13124074.86,11044577.14,3359366.48,2642000.83,536156.26,94.7,0.94389701,205.22,192.08,5.1,,,,,,5.0727,4559,991,77810439,Sul
4928,4202503,SC,2015,16444907.9,14678229.84,3328638.73,2571164.9,695556.87,82.8,0.82148403,,,4.6,,,,,,5.0727,4620,947,78719688,Sul
4929,4202503,SC,2017,19107324.95,17321784.78,4356161.09,3328000.55,937159.15,84.3,0.83925003,198.63,194.1,4.4,91.2,0.90718299,218.63,228.14,3.7,5.0727,4682,941,119837157,Sul
4930,4202503,SC,2019,22945625.81,20184328.19,5338998.7,3802103.96,1275944.74,94.3,0.94022799,,,,94.2,0.93954402,235.55,248.86,4.5,5.0727,4743,941,132716816,Sul
4971,4217600,SC,2013,26298796.32,22704814.76,5898235.92,4889173.45,718523.17,98.2,0.97645402,226.32,202.28,5.8,89.4,0.88116097,252.0,236.83,4.2,5.6663,13476,2588,416706446,Sul
4972,4217600,SC,2015,33209994.12,28797405.57,7060320.06,5844582.76,1099995.3,98.8,0.988931,,,6.4,86.2,0.85337102,,,,5.6663,13654,2498,503538552,Sul
4973,4217600,SC,2017,40223192.02,33610235.46,8622340.17,6980569.07,1599771.1,97.5,0.97073501,229.39,231.27,6.4,86.3,0.85772598,238.96,252.64,4.2,5.6663,13831,2458,458519151,Sul
4974,4217600,SC,2019,47263602.83,39336418.0,8970390.71,6857217.43,2022273.28,95.0,0.94860297,,,,94.5,0.95058602,295.39,285.0,6.0,5.6663,14007,2438,525771483,Sul
5018,4316956,RS,2013,16627127.68,13429289.0,4256491.19,3679310.74,542180.45,94.6,0.94499898,250.72,226.83,6.5,78.0,0.77385002,,,,5.7008,6228,944,170699144,Sul
5019,4316956,RS,2015,17482840.85,13403726.33,5158178.34,3289712.96,1808465.38,98.6,0.98849398,,,7.3,86.1,0.86637402,,,,5.7008,6264,900,209108490,Sul
5020,4316956,RS,2017,20429685.56,15235552.59,6141441.16,3750181.52,2335259.64,95.8,0.96027201,265.63,239.82,7.1,89.6,0.90188801,296.35,270.23,5.5,5.7008,6299,879,190769720,Sul
5021,4316956,RS,2019,28111936.77,22013248.27,7635817.1,4609210.55,2937117.52,96.8,0.96538001,263.51,227.8,6.9,92.4,0.92789698,310.39,287.95,6.2,5.7008,6331,865,207189353,Sul
5026,4305132,RS,2013,14705204.25,12766841.65,2965404.11,2582659.86,305462.85,95.5,0.959445,233.03,209.05,6.0,73.6,0.742971,,,,4.8704,4594,796,62392537,Sul
5027,4305132,RS,2015,16089470.55,13421680.77,3558429.02,2695249.98,513832.28,92.3,0.92690098,,,5.4,87.2,0.87099302,,,,4.8704,4628,770,67587497,Sul
5028,4305132,RS,2017,20756348.31,17028342.07,3791303.74,2724670.99,693458.66,93.9,0.94002402,206.8,170.94,4.7,89.6,0.89540899,242.22,226.94,4.0,4.8704,4661,732,77508835,Sul
5029,4305132,RS,2019,23694507.62,17554457.08,4295731.86,3047206.98,813801.34,92.3,0.92862099,217.36,203.55,5.4,88.4,0.880997,267.2,244.22,4.6,4.8704,4691,701,75643973,Sul
5075,4323457,RS,2013,13404878.64,12118586.87,2936644.24,2914144.24,0.0,93.9,0.93879497,,,,79.2,0.76373702,,,,5.1003,4299,799,77787004,Sul
5076,4323457,RS,2015,15250703.93,13242360.89,2900398.44,2631307.36,267242.55,94.9,0.95360202,,,5.2,90.1,0.90465403,,,4.0,5.1003,4292,746,96831543,Sul
5077,4323457,RS,2017,18182335.29,15323026.74,3551488.93,3166302.37,385186.56,92.9,0.92326301,219.58,226.22,5.8,87.7,0.879794,247.25,241.55,4.2,5.1003,4286,707,119809104,Sul
5078,4323457,RS,2019,22481924.58,18735762.53,5064497.95,4436086.37,457924.62,97.8,0.97635698,209.69,206.08,5.6,91.5,0.90682101,,,,5.1003,4280,677,118499300,Sul
5095,4306205,RS,2013,25942319.55,22815588.92,5513658.56,2888330.25,1748663.88,94.3,0.937235,211.8,190.96,5.1,66.7,0.67214602,,,,5.3927,12769,2258,263555080,Sul
5096,4306205,RS,2015,25280133.9,21870119.67,6605082.72,3204629.2,2363771.29,93.3,0.93470901,,,6.1,64.3,0.62291002,,,,5.3927,12104,2022,301001977,Sul
5097,4306205,RS,2017,32478141.14,29114507.27,8458130.97,4388292.46,3162054.09,97.1,0.97092497,220.5,205.07,5.7,76.3,0.76546502,288.23,269.51,4.6,5.3927,12230,1945,344258440,Sul
5098,4306205,RS,2019,38930798.66,35446985.42,9855001.42,4746686.49,3919510.91,96.1,0.955935,236.47,217.13,6.1,75.8,0.76544499,274.97,273.01,4.4,5.3927,12348,1918,394504862,Sul
5119,4314472,RS,2013,20945315.94,17854848.9,3851222.07,3267978.19,285492.5,94.6,0.94992,225.96,201.58,5.6,94.4,0.946567,262.7,246.77,4.9,4.926,4493,881,129372397,Sul
5120,4314472,RS,2015,22829262.58,17925545.03,3739643.87,2964696.04,496499.05,96.2,0.95874,,,,86.9,0.85838401,,,4.8,4.926,4443,795,396229068,Sul
5121,4314472,RS,2017,28931747.6,22965580.49,4452582.96,3612294.54,426082.38,99.4,0.99510598,232.55,224.13,6.4,96.0,0.95766598,279.39,266.85,5.5,4.926,4395,757,490838974,Sul
5122,4314472,RS,2019,34560577.1,26908759.51,5175536.7,3297569.64,709240.27,96.5,0.96841502,241.36,241.11,6.7,76.8,0.76501501,266.73,266.02,4.2,4.926,4350,726,760522503,Sul
5155,4201950,SC,2013,21265628.47,14217437.18,6830192.61,3193411.05,3636781.56,94.6,0.930942,190.91,180.02,4.5,76.8,0.73742801,246.69,240.1,3.5,5.2198,10841,2208,109757035,Sul
5156,4201950,SC,2015,27856108.41,19481175.48,7823843.96,4521602.54,3302241.42,95.7,0.95819199,,,5.1,87.6,0.87747401,,,5.0,5.2198,11587,2286,130894580,Sul
5157,4201950,SC,2017,31189772.98,22046814.39,9245118.95,5247152.32,3997966.63,96.5,0.96320599,211.5,213.67,5.7,80.6,0.81407303,231.14,241.97,3.7,5.2198,12334,2374,158894335,Sul
5158,4201950,SC,2019,39283455.34,28890393.91,11254521.84,6196872.2,5006613.36,95.2,0.95236498,214.41,203.42,5.5,77.7,0.77658898,260.1,256.7,4.1,5.2198,13071,2482,179679577,Sul
5167,4202073,SC,2013,21661698.01,14191766.46,5764412.08,3301069.77,2073386.88,93.0,0.92588598,216.42,199.24,5.3,80.7,0.81144398,253.33,242.02,4.0,5.3459,9230,1897,97091825,Sul
5168,4202073,SC,2015,27034656.48,17019751.87,8815201.34,4999532.48,3335476.42,93.9,0.93742001,,,5.5,85.5,0.87054998,,,4.6,5.3459,9815,1916,124580036,Sul
5169,4202073,SC,2017,37191480.52,20754356.12,10876195.71,5444399.74,4804690.35,94.9,0.949265,214.36,204.58,5.5,88.0,0.88974798,257.95,242.41,4.5,5.3459,10401,1983,140778278,Sul
5170,4202073,SC,2019,42019090.38,28808631.1,13042838.31,6836242.75,5783527.42,92.7,0.92786199,220.19,214.83,5.6,87.6,0.87693799,,,,5.3459,10979,2063,166797162,Sul
5215,4317608,RS,2013,76004799.22,56388308.37,21436547.73,13717083.1,6764585.38,95.2,0.95137298,222.77,200.69,5.6,92.2,0.92123997,252.5,241.47,4.5,5.186,41289,8076,965228201,Sul
5216,4317608,RS,2015,101579443.39,69994792.98,26091077.12,15581975.45,9025726.86,95.0,0.95283401,,,5.7,94.7,0.94854999,,,4.7,5.186,41853,7844,1063288817,Sul
5217,4317608,RS,2017,132495798.53,94861841.25,30980264.53,17392306.63,12033609.78,93.7,0.935682,227.08,216.05,5.8,88.0,0.87983698,258.6,252.44,4.6,5.186,42393,7671,1288248345,Sul
5218,4317608,RS,2019,138133002.51,93370237.94,33432037.05,19065777.17,12768190.55,95.6,0.95681202,230.25,221.96,6.1,89.1,0.89130801,275.14,262.95,5.0,5.186,42894,7577,1441182417,Sul
5239,4322905,RS,2013,14401162.59,12374658.66,2803862.84,2000622.39,432034.29,98.1,0.981067,254.27,241.13,7.1,95.7,0.953749,251.02,245.88,4.7,5.177,5203,754,119373006,Sul
5240,4322905,RS,2015,17632434.7,13709196.08,3142515.58,1921509.61,654285.56,100.0,1.0,,,7.4,98.4,0.98502898,,,5.3,5.177,5046,676,145607075,Sul
5241,4322905,RS,2017,21538500.09,16270734.7,3823103.64,2551138.03,801043.79,98.5,0.98584098,269.41,249.69,7.5,96.7,0.96345502,293.27,276.57,5.9,5.177,4896,619,127059905,Sul
5242,4322905,RS,2019,25149020.76,18656621.92,4521023.19,2507583.32,1422874.47,100.0,1.0,266.22,252.25,7.6,97.3,0.97289097,286.45,276.75,5.9,5.177,4756,568,148940252,Sul
5259,4202800,SC,2013,56199841.24,46076165.94,17453160.16,8160057.29,8375642.6,98.2,0.98227602,232.0,214.08,6.2,96.1,0.95906103,247.24,230.94,4.4,5.4938,30802,6623,771797278,Sul
5260,4202800,SC,2015,69919111.86,54503252.41,21048556.53,9718675.92,10124500.68,96.4,0.965635,,,6.0,89.0,0.89238203,,,4.8,5.4938,31687,6526,979638158,Sul
5261,4202800,SC,2017,84621422.89,68902752.08,24058299.52,10637649.78,12189416.7,97.3,0.97376001,230.19,211.78,6.0,90.7,0.90541601,273.32,258.05,5.0,5.4938,32574,6536,1134602209,Sul
5262,4202800,SC,2019,106984993.53,84085572.92,28706043.93,12973003.8,14184221.38,95.3,0.95335001,227.69,211.77,5.9,85.3,0.84599298,,,,5.4938,33450,6597,1338203483,Sul
5263,4300901,RS,2013,43894996.66,39117424.44,5475739.02,4288419.15,456639.88,98.3,0.98689699,261.66,248.99,7.4,,,,,,5.6489,6548,905,879473830,Sul
5264,4300901,RS,2015,47509582.18,38860035.54,6482356.04,3246113.84,1442089.35,100.0,1.0,,,7.7,,,,,,5.6489,6438,793,928129080,Sul
5265,4300901,RS,2017,50784821.79,42035456.69,8076078.02,3423481.07,2254933.67,100.0,1.0,243.83,217.85,6.6,100.0,1.0,284.54,276.29,6.0,5.6489,6333,733,879723306,Sul
5266,4300901,RS,2019,62446512.98,49316806.58,8297270.43,3765618.55,2243954.75,100.0,1.0,280.76,254.77,8.0,95.5,0.95415401,280.45,276.57,5.7,5.6489,6235,683,1004171227,Sul
5267,4319406,RS,2013,34913044.81,30035143.42,6740618.24,5881004.23,832213.08,95.9,0.95851099,206.88,199.25,5.3,86.7,0.86785501,241.41,236.55,4.0,4.937,16539,2890,269106788,Sul
5268,4319406,RS,2015,41564499.16,31306317.29,11112770.23,10173337.4,935033.29,98.0,0.98063999,,,5.7,94.6,0.94397998,,,4.8,4.937,16419,2730,318109433,Sul
5269,4319406,RS,2017,45477347.11,35040060.45,9743283.06,7928127.19,1815155.87,96.3,0.958314,216.89,211.25,5.7,89.7,0.897605,253.22,258.94,4.7,4.937,16304,2620,370249928,Sul
5270,4319406,RS,2019,59793502.2,42798037.49,11640388.03,9507661.04,2132726.99,96.9,0.96775103,211.77,214.3,5.7,90.9,0.90752,254.46,255.71,4.7,4.937,16198,2539,393973135,Sul
5275,4303707,RS,2013,15632834.78,13556450.29,3297248.15,2348516.73,765628.82,97.0,0.97310102,235.19,212.33,6.1,,,,,,5.6888,5991,842,103147222,Sul
5276,4303707,RS,2015,18407567.56,15397623.59,3972447.08,2838518.73,920956.89,99.1,0.99109399,,,6.7,,,,,,5.6888,5809,737,122473562,Sul
5277,4303707,RS,2017,21636976.41,17368852.48,4953457.25,3354951.71,908848.9,99.5,0.99696398,245.25,224.36,6.7,100.0,1.0,,,,5.6888,5635,682,147060493,Sul
5278,4303707,RS,2019,25343803.93,20736574.1,4918903.29,2231503.78,2088765.78,99.6,0.99572802,238.8,231.83,6.7,,,,,,5.6888,5474,633,163029418,Sul
5311,4319901,RS,2013,151229389.09,114026150.81,49749668.45,32362426.21,16869724.44,95.0,0.951258,242.36,220.78,6.3,90.7,0.90794998,274.52,261.2,5.1,5.2686,78240,17876,2120574274,Sul
5312,4319901,RS,2015,185312413.76,129000102.67,61614540.86,37825145.07,22762660.14,94.8,0.94826603,,,6.3,91.3,0.91456097,,,5.3,5.2686,79469,17501,2844423386,Sul
5313,4319901,RS,2017,218839748.87,148754131.1,67563887.52,37282771.12,27006588.57,95.7,0.95755202,242.27,227.63,6.4,91.6,0.91823602,280.64,278.17,5.5,5.2686,80643,17208,3089007787,Sul
5314,4319901,RS,2019,229297799.26,172499322.44,73652287.05,41776447.47,28119234.8,95.1,0.95141101,243.47,229.85,6.5,90.7,0.90936202,280.92,277.89,5.4,5.2686,81734,17072,3500606940,Sul
5394,4215703,SC,2013,42516095.78,31399018.17,11456634.3,7280528.47,3246475.11,95.4,0.95272899,241.0,213.63,6.1,90.7,0.86152297,266.29,253.13,4.6,5.7316,21172,4053,587584874,Sul
5395,4215703,SC,2015,54923970.53,35790024.87,16392162.06,8460653.9,6918852.27,92.9,0.93087202,,,6.0,85.7,0.85875201,,,5.2,5.7316,21865,3955,656335724,Sul
5396,4215703,SC,2017,65628681.71,43205406.85,17193085.6,8921801.91,6947184.96,93.1,0.93041998,234.91,225.88,6.1,89.0,0.89626497,276.26,271.23,5.2,5.7316,22560,4012,753918742,Sul
5397,4215703,SC,2019,80473373.96,53426308.85,21864364.33,13049331.13,7262463.15,94.3,0.94165403,226.41,219.63,5.9,85.6,0.86162299,279.57,270.22,5.0,5.7316,23245,4102,926587483,Sul
5624,4207601,SC,2013,14982175.08,13918933.45,4145711.54,3056166.58,880255.03,97.7,0.97686499,261.85,238.74,7.1,97.1,0.96913999,293.7,272.45,5.9,5.558,4710,852,65818978,Sul
5625,4207601,SC,2015,16341154.78,14917781.97,4919781.11,3727789.32,905370.34,96.7,0.96713698,,,7.1,96.3,0.96477002,,,6.3,5.558,4627,781,74263616,Sul
5626,4207601,SC,2017,20269148.21,17984601.09,5524466.93,4058990.95,1085493.5,96.3,0.96265799,255.99,238.25,6.9,97.9,0.97862297,298.86,294.2,6.4,5.558,4544,745,84447401,Sul
5627,4207601,SC,2019,23193428.22,21073845.27,5899677.3,4301253.88,1226489.66,96.2,0.96215302,270.14,237.66,7.2,96.4,0.961541,283.73,274.91,5.7,5.558,4446,710,87798584,Sul
5636,4314050,RS,2013,96182858.08,78853125.14,41243936.75,28117404.83,8551484.1,93.8,0.93760902,217.19,200.16,5.4,84.3,0.84279603,260.2,254.42,4.4,5.2491,54523,12743,959059896,Sul
5637,4314050,RS,2015,107617818.39,85910631.85,41371304.28,25746716.8,10819951.97,94.8,0.95027697,,,5.8,85.3,0.85997301,,,4.6,5.2491,55932,12578,1089026666,Sul
5638,4314050,RS,2017,128986654.43,100671732.99,43901945.99,28256584.26,12012634.71,95.5,0.95441401,227.61,218.83,6.0,91.5,0.91622102,266.39,260.55,5.0,5.2491,57278,12565,1145068571,Sul
5639,4314050,RS,2019,148086680.1,113734301.82,52453589.24,31299345.59,17818385.63,95.6,0.955284,236.66,224.32,6.3,90.5,0.90547699,273.85,267.26,5.1,5.2491,58272,12585,1350777150,Sul
5644,4116901,PR,2013,50417693.06,37416545.34,10260300.71,7979130.11,2236638.54,91.5,0.91052097,225.6,206.55,5.5,,,,,,5.1992,27394,5486,516694997,Sul
5645,4116901,PR,2015,61585277.07,45570332.71,12778288.09,9480819.32,3251268.77,92.8,0.927086,,,5.8,,,,,,5.1992,27569,5290,588983009,Sul
5646,4116901,PR,2017,72767746.86,50434165.87,15398912.55,11457261.91,3886175.36,97.2,0.96939099,232.83,224.94,6.3,,,,,,5.1992,27737,5128,765044711,Sul
5647,4116901,PR,2019,83871649.38,57150336.46,18889270.54,12744025.15,6145245.39,98.4,0.983886,240.63,223.6,6.5,,,,,,5.1992,27904,5033,734561006,Sul
5680,4204905,SC,2013,18493057.12,16386427.94,3794402.23,2391272.52,1276359.61,98.8,0.989586,234.99,220.02,6.4,,,,,,5.6518,8605,1494,181564008,Sul
5681,4204905,SC,2015,20525263.61,17780995.93,4411489.71,2795471.96,1453747.41,98.9,0.987836,,,6.4,,,,,,5.6518,8486,1382,207537469,Sul
5682,4204905,SC,2017,24824552.86,21622259.02,5725855.96,3865653.27,1657685.06,97.0,0.97467101,246.16,228.0,6.6,96.7,0.96551698,,,,5.6518,8367,1326,228895718,Sul
5683,4204905,SC,2019,29976027.33,26375317.91,6074524.19,3834231.29,1980364.08,93.1,0.92689401,239.58,217.07,6.0,,,,,,5.6518,8250,1281,226294984,Sul
5728,4308409,RS,2013,16644590.93,14106698.12,3270212.05,2790870.62,273387.29,88.0,0.89019197,,,,85.5,0.84848303,250.66,252.64,4.3,5.4445,6997,1233,133165933,Sul
5729,4308409,RS,2015,19152718.32,16122993.01,3837106.3,3076523.34,442422.11,91.1,0.90925801,,,,92.5,0.92711997,,,4.3,5.4445,6880,1149,173094044,Sul
5730,4308409,RS,2017,23002994.68,18542879.6,4553071.07,3422137.85,660599.2,91.7,0.913109,200.0,181.96,4.6,89.2,0.898808,266.02,272.95,5.1,5.4445,6768,1088,182346294,Sul
5731,4308409,RS,2019,28899704.4,22468082.67,5767149.27,3905289.23,1149395.56,94.6,0.95048898,233.03,224.38,6.2,77.1,0.70819098,253.13,249.03,3.6,5.4445,6664,1041,200434380,Sul
5744,4317103,RS,2013,149383590.2,96586871.88,33013702.28,20741584.59,10180456.15,88.2,0.88292497,199.82,182.36,4.5,78.3,0.78656602,243.25,238.42,3.7,4.8873,81824,17709,1319803053,Sul
5745,4317103,RS,2015,179199654.75,113146907.03,40108869.96,8174414.7,22494333.83,91.3,0.91318703,,,4.7,78.6,0.80796701,,,3.9,4.8873,80137,16432,1901570284,Sul
